City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Cabo San Lucas,MX,22.8909,-109.9124,63.61,55,0,1.48,clear sky
79,Preobrazheniye,RU,42.9019,133.9064,28.09,36,3,5.32,clear sky
80,Busselton,AU,-33.65,115.3333,72.09,69,91,9.48,overcast clouds
81,Ponta Do Sol,PT,32.6667,-17.1,62.71,61,5,7.0,clear sky
82,Clyde River,CA,70.4692,-68.5914,-36.92,71,40,3.36,scattered clouds
83,Luderitz,NA,-26.6481,15.1594,71.11,71,23,4.61,few clouds
84,Qaanaaq,GL,77.484,-69.3632,-11.54,68,100,4.7,overcast clouds
85,Kayerkan,RU,69.3497,87.7602,-8.48,83,96,6.91,overcast clouds
86,Cape Coast,GH,5.1053,-1.2466,78.71,87,77,5.73,broken clouds
87,Salalah,OM,17.0151,54.0924,71.69,18,0,27.63,clear sky
88,Kapaa,US,22.0752,-159.319,75.18,78,75,16.11,broken clouds
89,Merauke,ID,-8.4667,140.3333,85.42,68,100,8.52,moderate rain
90,Wukari,NG,7.85,9.7833,68.41,26,30,5.57,scattered clouds
91,Batesville,US,35.7698,-91.641,39.94,58,0,5.75,clear sky
92,Lompoc,US,34.6391,-120.4579,63.12,79,0,3.44,clear sky
93,Nome,US,64.5011,-165.4064,-7.53,49,0,21.85,clear sky
94,Northam,GB,51.0333,-4.2167,51.35,88,97,17.45,overcast clouds
95,De Aar,ZA,-30.6497,24.0123,65.98,72,0,4.61,clear sky
96,Faanui,PF,-16.4833,-151.75,81.48,78,100,19.98,overcast clouds
97,Plastun,RU,44.7561,136.2939,24.57,45,43,9.78,scattered clouds
98,Yulara,AU,-25.2406,130.9889,94.84,28,100,17.27,overcast clouds
99,Pierre,US,44.3683,-100.351,45.28,39,0,11.5,clear sky
100,Hobart,AU,-42.8794,147.3294,79.02,54,75,12.66,broken clouds
101,Cockburn Town,TC,21.4612,-71.1419,77.05,79,0,17.4,clear sky
102,Kaitangata,NZ,-46.2817,169.8464,59.94,80,1,6.85,clear sky
103,Talnakh,RU,69.4865,88.3972,-7.8,94,98,10.09,overcast clouds
104,Rio Gallegos,AR,-51.6226,-69.2181,57.25,54,40,19.57,scattered clouds
105,Hasaki,JP,35.7333,140.8333,46.62,95,100,15.95,overcast clouds
